Block_ID,Expected_Hex,Actual_Hex,Match_Status
1,0009003e001000006b00020000004700,0009003e001000006b00020000004700,1
2,0003000b000000005e000009d00e0000,0003000b000000005e000009d00e0000,1
3,00000000000048000000005d00000000,00000000000048000000005d00000000,1
4,00743800005d00000041000000000000,00743800005d00000041000000000000,1
5,03000000900000000001980000000000,03000000900000000001980000000000,1
6,002817280e0000000000000010640000,002817280e0000000000000010640000,1
7,000000005b000000000000003e000000,000000005b000000000000003e000000,1
8,4e0032ac00005b0000d2247d00000000,4e0032ac00005b0000d2247d00000000,1
9,0000003f006f00860000000000010000,0000003f006f00860000000000010000,1
10,220000000000a5001d00000000000000,220000000000a5001d00000000000000,1
11,0000000064005b00000000001a0a0049,0000000064005b00000000001a0a0049,1
12,009a5000000000000000655700042100,009a5000000000000000655700042100,1
13,0002010000dac0040000006381000000,0002010000dac0040000006381000000,1
14,0000250000004e003502004000000300,0000250000004e003502004000000300,1
15,16190000000000b300007f0000630000,16190000000000b300007f0000630000,1
16,44200000002a00000000000000000000,44200000002a00000000000000000000,1
17,00110001007d00991d00000000190000,00110001007d00991d00000000190000,1
18,0000000000005f001e00000000000000,0000000000005f001e00000000000000,1
19,44d900671300200000000000113e2b00,44d900671300200000000000113e2b00,1
20,0600000011002f00030036000000000f,0600000011002f00030036000000000f,1
21,7b001400cd000016002c00951d000011,7b001400cd000016002c00951d000011,1
22,000000000000003300000b0c0000009d,000000000000003300000b0c0000009d,1
23,2e000007180c0000687d000000000000,2e000007180c0000687d000000000000,1
24,00000001002f0000000000004f000000,00000001002f0000000000004f000000,1
25,00004300000037100053000000003f00,00004300000037100053000000003f00,1
26,000000840f000000000000002f000000,000000840f000000000000002f000000,1
27,00ac007700444f0000044800002e0058,00ac007700444f0000044800002e0058,1
28,000000291a6d00000000000000730077,000000291a6d00000000000000730077,1
29,0000003800001c000000000032000000,0000003800001c000000000032000000,1
30,0600008800000026d0000012003d3f00,0600008800000026d0000012003d3f00,1
31,008200a20000000000008a000d340000,008200a20000000000008a000d340000,1
32,002e0000000085000000000000000000,002e0000000085000000000000000000,1
33,24000227070000005ed7000000000300,24000227070000005ed7000000000300,1
34,60970057000065000010000000325c00,60970057000065000010000000325c00,1
35,00f6a88b1900890073830000a3000000,00f6a88b1900890073830000a3000000,1
36,00006a0000000b00306e1c673100a700,00006a0000000b00306e1c673100a700,1
37,00000000000500350000000000001900,00000000000500350000000000001900,1
38,0000000052008b0082000d4f00000000,0000000052008b0082000d4f00000000,1
39,00002f000f0f000000000048000c5600,00002f000f0f000000000048000c5600,1
40,c90000000000004e00000066ca130000,c90000000000004e00000066ca130000,1
41,00001f00001a00000000000000470000,00001f00001a00000000000000470000,1
42,000029006f621b00002f000000002000,000029006f621b00002f000000002000,1
43,0000008d171d5c000000530000001400,0000008d171d5c000000530000001400,1
44,00b41c005e00000043000000000000a7,00b41c005e00000043000000000000a7,1
45,00000019000000000000000000008159,00000019000000000000000000008159,1
46,b70000003355007500000067000c3300,b70000003355007500000067000c3300,1
47,00001f00000000400004006220001c00,00001f00000000400004006220001c00,1
48,000000003c0000000000002500000000,000000003c0000000000002500000000,1
49,00000056000000004c0001000000351b,00000056000000004c0001000000351b,1
50,00000037000000000000410000000000,00000037000000000000410000000000,1
51,0000c32f005d00c59e0000000000001b,0000c32f005d00c59e0000000000001b,1
52,0000008619150b000000002700000000,0000008619150b000000002700000000,1
53,0059000000003b61000000000000007f,0059000000003b61000000000000007f,1
54,0037000013000000007e0000004d0966,0037000013000000007e0000004d0966,1
55,00190000000004000000000000000000,00190000000004000000000000000000,1
56,00a00000000000000000003200000000,00a00000000000000000003200000000,1
57,00000000003e057d000000003a000000,00000000003e057d000000003a000000,1
58,0064001d000000004d00000000000000,0064001d000000004d00000000000000,1
59,b50000690f004a00b000000000110000,b50000690f004a00b000000000110000,1
60,390000c500007b3600008a0000000040,390000c500007b3600008a0000000040,1
61,00e700000000000000b4000000000000,00e700000000000000b4000000000000,1
62,610000002b92000000344d0000766c00,610000002b92000000344d0000766c00,1
63,0000e50000006a2d102100518f0000e0,0000e50000006a2d102100518f0000e0,1
64,00640014d5002707ae00000000000000,00640014d5002707ae00000000000000,1
65,0000500000000000040064005b000800,0000500000000000040064005b000800,1
66,00000075130000472643000000005300,00000075130000472643000000005300,1
67,0000000000000001a39b5700004c0000,0000000000000001a39b5700004c0000,1
68,503100ad5600005800007d4b00b6005f,503100ad5600005800007d4b00b6005f,1
69,54000d00000000000000000000000000,54000d00000000000000000000000000,1
70,00035d0000000000070000002d3c0300,00035d0000000000070000002d3c0300,1
71,0000a200000011000000000000000000,0000a200000011000000000000000000,1
72,00002100000000000000000000000000,00002100000000000000000000000000,1
73,4000150b000000044100004600000000,4000150b000000044100004600000000,1
74,1f00000000000f1b0000955100000000,1f00000000000f1b0000955100000000,1
75,003300000000030000ab000033000000,003300000000030000ab000033000000,1
76,000e009934c9000100ab004f00000000,000e009934c9000100ab004f00000000,1
77,7500000000683b0000340f07007c4117,7500000000683b0000340f07007c4117,1
78,00005300000000000000af0000000000,00005300000000000000af0000000000,1
79,00b90000000096008a4fc300f000001a,00b90000000096008a4fc300f000001a,1
80,000000007b0049001500550000000000,000000007b0049001500550000000000,1
81,0000001b00378600530000c48d000000,0000001b00378600530000c48d000000,1
